Nombre,Lugar de registro,Especialidad tecnológica,Lenguaje favorito,Certificación principal,Edad,Años de experiencia,Repositorios en GitHub,Número de certificaciones técnicas,Salario actual (USD)
Brandon Martinez,Port Alyssa,AI/ML Engineer,Java,Certified Ethical Hacker,39,4,52,5,1221
Brittney Pugh,Adamsmouth,QA Tester,Java,Cisco CCNA,38,0,44,9,2708
Richard Spence,East James,Database Administrator,Go,Certified Scrum Master,29,3,9,5,1840
Craig Garza,New Andreastad,QA Tester,Swift,CompTIA Security+,41,2,48,2,6551
Christina Taylor,Barbaraview,Data Scientist,Java,Certified Ethical Hacker,26,4,71,7,7578
Faith Key,New Derrick,Backend Developer,C#,Oracle Certified Professional,36,14,137,6,6269
Jonathan James DVM,South Christinebury,Cloud Architect,Swift,PMI-ACP,51,7,93,9,2478
Shawn Perry,North Larrystad,AI/ML Engineer,PHP,Certified Scrum Master,34,5,115,2,5722
Donald Smith,New Joanburgh,Database Administrator,Python,Oracle Certified Professional,60,38,85,9,7138
Chloe Tucker,West Jasmine,Backend Developer,Python,Certified Ethical Hacker,47,14,41,9,5943
Gabriel Moore,Meganhaven,DevOps Engineer,C#,Oracle Certified Professional,25,1,70,4,6310
Sarah Dudley,New Scott,Cybersecurity Specialist,C#,PMI-ACP,34,3,95,6,5135
Brenda Chang,Davidtown,DevOps Engineer,C#,PMI-ACP,52,6,100,4,2884
Kyle Charles,Cervantesville,Cloud Architect,PHP,AWS Certified Developer,36,10,123,9,1374
Kristen Jacobs,Dennisfort,Cybersecurity Specialist,Ruby,Cisco CCNA,41,13,6,7,6448
Lori Perez,North Brianbury,Cloud Architect,PHP,PMI-ACP,49,6,25,8,6974
Claudia Nelson,Lake Caitlintown,Frontend Developer,TypeScript,Certified Scrum Master,40,4,30,8,2762
Rachel Sanders,Porterland,DevOps Engineer,JavaScript,CompTIA Security+,29,0,97,7,4963
Christopher Martinez,Michelleborough,QA Tester,TypeScript,CompTIA Security+,34,4,53,0,2904
Diana Hansen,Martinezville,DevOps Engineer,Kotlin,Cisco CCNA,43,10,64,4,4063
Sarah Snyder,Lake Ryan,Cloud Architect,JavaScript,AWS Certified Developer,31,0,122,3,1228
Melissa Stewart,South Jeremy,Cybersecurity Specialist,C#,PMI-ACP,58,29,135,2,3783
Michael Boyd,West Anne,DevOps Engineer,Go,Google Cloud Engineer,50,2,29,5,7456
Kelly Rodriguez,New Warrenville,Cybersecurity Specialist,TypeScript,Cisco CCNA,36,15,73,3,1984
Samuel Scott,Port Jonathan,DevOps Engineer,Swift,PMI-ACP,27,3,141,4,6611
Kari Johnson,Port Bradleyhaven,Frontend Developer,TypeScript,AWS Certified Developer,37,4,136,2,5053
Patty Randolph,Molinashire,DevOps Engineer,Java,Cisco CCNA,54,19,82,9,6779
Amber Velazquez,North Crystalstad,QA Tester,Java,AWS Certified Solutions Architect,42,21,59,1,4447
Tanner Hensley,Thompsonbury,QA Tester,C#,Cisco CCNA,28,4,42,9,1292
Terri Carter,Danielhaven,Database Administrator,Python,Certified Scrum Master,41,7,89,1,4764
Steven Gonzalez,South Kyle,Frontend Developer,Swift,Certified Ethical Hacker,42,12,111,2,5143
Michael Floyd,Cynthiamouth,Frontend Developer,TypeScript,Oracle Certified Professional,46,13,33,10,5516
Dawn Lang,New Jasmineborough,Mobile Developer,PHP,Certified Ethical Hacker,42,21,98,7,7587
Mr. Jason Murray,Mooreport,Cybersecurity Specialist,Go,Google Cloud Engineer,40,3,142,1,3960
Ann Davidson,North Dawnport,Backend Developer,Ruby,Certified Scrum Master,48,5,95,9,4338
Justin Garrett,Bennettfurt,Frontend Developer,TypeScript,Google Cloud Engineer,22,1,137,7,2152
Scott Johnson,Hallmouth,AI/ML Engineer,Swift,Google Cloud Engineer,52,11,4,6,5356
Samantha Bryant,Joditon,Backend Developer,JavaScript,AWS Certified Developer,46,0,25,1,5594
Cindy Marsh,North Amanda,Cybersecurity Specialist,Ruby,CompTIA Security+,24,0,10,1,5046
Jonathan Lee,Kristiview,DevOps Engineer,Go,Certified Scrum Master,32,4,16,10,6369
Mrs. Angela Moody,New Monica,Backend Developer,Python,Certified Ethical Hacker,41,13,127,6,4803
Robert Bell,Garystad,Backend Developer,C#,Cisco CCNA,50,21,81,9,7172
Kenneth Simmons,Meyershire,DevOps Engineer,Kotlin,Cisco CCNA,41,12,125,0,4287
Sarah Richards,Hunterfort,Data Scientist,C#,Certified Ethical Hacker,33,2,40,1,4551
Jay Brooks,Jakeburgh,Cybersecurity Specialist,Kotlin,Microsoft Azure Fundamentals,56,12,123,0,3897
Tonya Andersen,Cunninghamstad,Cybersecurity Specialist,TypeScript,AWS Certified Developer,55,25,37,8,4339
Cheryl Rodriguez,Fischerborough,Cybersecurity Specialist,PHP,AWS Certified Developer,39,0,18,5,4354
Kristen Rivera,Lake Josephburgh,Backend Developer,Ruby,Google Cloud Engineer,31,10,37,4,7596
Justin Brooks,West Patricia,Cloud Architect,Go,AWS Certified Developer,26,3,107,1,4704
Alexandra Howard,New Travis,Backend Developer,Java,AWS Certified Developer,42,6,113,0,5463
Jo Allen,Denisehaven,DevOps Engineer,Swift,AWS Certified Developer,31,4,8,2,5506
Lauren Morrison,Robinsonville,Cloud Architect,PHP,Microsoft Azure Fundamentals,43,7,129,2,7394
Zachary Davis,Lake Erinborough,AI/ML Engineer,Ruby,CompTIA Security+,40,19,109,9,4249
Johnny Best,Lucasmouth,DevOps Engineer,TypeScript,Certified Scrum Master,35,11,124,0,7000
Aaron Diaz,South James,Mobile Developer,Java,AWS Certified Developer,56,23,20,0,5736
Ricardo West,Susanburgh,Data Scientist,Ruby,Certified Scrum Master,51,1,57,9,4847
Brittany Norman,Heathermouth,QA Tester,JavaScript,Oracle Certified Professional,25,0,106,1,4479
Thomas Miller,Webbfort,AI/ML Engineer,JavaScript,Cisco CCNA,52,15,81,9,7560
Eric Lewis,Johnsonview,Cybersecurity Specialist,Go,PMI-ACP,26,4,91,1,6239
Timothy Smith,Josephhaven,Mobile Developer,JavaScript,Certified Scrum Master,42,9,123,9,7420
Patrick Price,West Christophershire,Cloud Architect,Python,Microsoft Azure Fundamentals,44,14,136,0,4572
Scott Stevens,South Michellehaven,DevOps Engineer,Python,Microsoft Azure Fundamentals,49,17,148,3,2562
Zachary Payne,East Elizabeth,QA Tester,Python,CompTIA Security+,36,15,60,2,3185
Kimberly Wright,Romanbury,Cloud Architect,TypeScript,PMI-ACP,29,6,51,3,6276
Phillip Reese,Lake Joan,Mobile Developer,JavaScript,CompTIA Security+,52,18,150,1,1741
Scott Robinson,Mahoneyborough,DevOps Engineer,JavaScript,Oracle Certified Professional,57,13,35,1,4709
Katie Henderson,Abigailtown,Cloud Architect,Go,PMI-ACP,23,1,56,3,4114
Anne Robinson,Lake Scott,Data Scientist,Java,CompTIA Security+,24,2,29,5,4823
Thomas Reyes,Douglasborough,Cybersecurity Specialist,Ruby,PMI-ACP,28,0,10,6,6496
John Hernandez,Lake Brittney,Data Scientist,Go,Certified Scrum Master,36,0,94,1,1234
Frank Mason,North James,DevOps Engineer,PHP,Microsoft Azure Fundamentals,24,3,148,4,1998
Mr. Travis Webb III,South Angelachester,Cybersecurity Specialist,TypeScript,Cisco CCNA,60,26,3,4,7377
Charles Garrison,Schaeferport,Cybersecurity Specialist,Swift,AWS Certified Developer,28,4,89,2,2904
Rickey Thomas,East Bailey,Frontend Developer,JavaScript,Certified Ethical Hacker,33,11,115,6,6109
Leon Bridges,North James,Data Scientist,Java,Cisco CCNA,32,11,54,7,7880
Joseph Watson,New Shannon,Cybersecurity Specialist,Go,Google Cloud Engineer,37,10,72,2,831
Jamie Lopez,Oliverstad,Frontend Developer,TypeScript,Google Cloud Engineer,28,5,41,9,3673
Kevin Hill,Robertton,Mobile Developer,JavaScript,PMI-ACP,55,34,16,10,6007
Corey Craig,South Dianeton,Data Scientist,Go,Google Cloud Engineer,41,4,110,2,7962
Lisa Schmidt,Port Nathanielborough,QA Tester,Ruby,CompTIA Security+,24,1,3,3,6503
Brianna Oliver DVM,Santosmouth,DevOps Engineer,Java,Cisco CCNA,57,30,149,4,5477
Roy Jones,Williamview,Data Scientist,PHP,Certified Ethical Hacker,34,7,125,6,4291
Nichole Ramsey,Robertside,Database Administrator,JavaScript,PMI-ACP,54,23,55,0,3496
Jacob Smith,New Meghan,Backend Developer,Swift,Google Cloud Engineer,52,19,111,4,7386
Rebecca Cruz,Hillbury,AI/ML Engineer,JavaScript,CompTIA Security+,46,4,131,1,3867
John Kim,Blakebury,DevOps Engineer,C#,Certified Scrum Master,53,24,24,2,4084
Thomas Johnson,North James,Frontend Developer,Ruby,AWS Certified Developer,30,0,94,9,3292
Melanie Wolfe,East Anthonyberg,Cybersecurity Specialist,Go,Certified Scrum Master,27,3,17,5,871
Nathan Villarreal,Heathershire,AI/ML Engineer,TypeScript,CompTIA Security+,35,2,22,6,2666
Ryan Howard,Lake Xavier,Cybersecurity Specialist,Go,CompTIA Security+,53,25,91,9,6470
April Singh,West Herbertport,Frontend Developer,Ruby,Cisco CCNA,42,1,82,9,6362
William King,North Johnmouth,DevOps Engineer,C#,Google Cloud Engineer,58,27,120,9,4715
Katherine Jackson,Poolechester,DevOps Engineer,Swift,Cisco CCNA,52,23,139,3,3056
Jennifer Peters,Marcusborough,AI/ML Engineer,Java,Microsoft Azure Fundamentals,60,31,29,4,2668
Tammy Lewis,North Calebfurt,Database Administrator,Kotlin,AWS Certified Developer,26,6,96,6,4326
Jennifer Lane,Herrerashire,Mobile Developer,Java,PMI-ACP,23,2,75,8,7371
Lindsey Baird,Port Alanview,DevOps Engineer,Java,AWS Certified Solutions Architect,39,19,59,9,3344
Angela Walker,North Michaelborough,Database Administrator,Java,AWS Certified Solutions Architect,23,2,45,0,3717
Nina Reid,Roseborough,QA Tester,C#,Microsoft Azure Fundamentals,41,18,52,1,6796
Rebecca Gill,Nicholasborough,Cybersecurity Specialist,Ruby,Certified Scrum Master,41,4,75,8,3111
Meghan Ortiz,Wendychester,QA Tester,Python,PMI-ACP,25,2,137,4,2862
Michael Brooks,Mccannport,Frontend Developer,Swift,PMI-ACP,41,13,22,1,3702
Michelle Galloway,New Parkerville,Database Administrator,PHP,Oracle Certified Professional,46,26,111,7,7103
Catherine Eaton,Lake Michael,QA Tester,C#,PMI-ACP,56,17,4,7,3057
April Walls,Smithstad,Cloud Architect,JavaScript,Certified Ethical Hacker,53,25,146,6,2697
Alison Velasquez,West Amyborough,Backend Developer,Go,AWS Certified Solutions Architect,34,3,147,8,6252
Zachary Roberts,Drakechester,AI/ML Engineer,Go,AWS Certified Developer,36,12,112,5,5811
Alyssa Gallagher DVM,Sharonfurt,DevOps Engineer,Swift,AWS Certified Solutions Architect,52,27,26,10,1293
Tyler Williams,East Ashley,QA Tester,Python,Google Cloud Engineer,28,8,148,0,6429
Whitney Harris,New Sandraside,Backend Developer,Java,Certified Ethical Hacker,32,5,30,7,5860
Scott Oconnor,East Phillip,Cybersecurity Specialist,Java,Oracle Certified Professional,59,30,148,1,6459
Jordan Walker,East James,Data Scientist,C#,Certified Ethical Hacker,56,16,2,0,7000
Lawrence Miller,West Michaelborough,Cloud Architect,JavaScript,Cisco CCNA,40,19,56,10,2687
Theresa Lee,Port Williamfort,Data Scientist,Java,Cisco CCNA,40,15,135,8,4990
David Baldwin,North Jamie,Cloud Architect,Java,PMI-ACP,42,21,59,4,6482
Michael Kelley,South Vincent,AI/ML Engineer,TypeScript,Cisco CCNA,56,1,68,8,6074
Katie Holmes,New Charles,AI/ML Engineer,Ruby,Microsoft Azure Fundamentals,37,17,55,5,3085
Rodney Morton,Barreraberg,Backend Developer,TypeScript,PMI-ACP,30,5,52,0,7070
Tommy Lang,Allenborough,AI/ML Engineer,Python,Google Cloud Engineer,31,3,72,2,3395
Charles Garcia,Petersberg,AI/ML Engineer,Java,Microsoft Azure Fundamentals,30,1,74,1,1411
Amanda Elliott,Markfurt,Backend Developer,PHP,Oracle Certified Professional,27,6,103,8,5354
Tiffany Gay,Port Mason,Data Scientist,Kotlin,AWS Certified Solutions Architect,57,24,137,9,3842
Heather Reeves,Port Rachelmouth,Backend Developer,C#,AWS Certified Solutions Architect,59,33,96,9,2607
Jennifer Harvey,Melanieberg,QA Tester,Ruby,Cisco CCNA,47,19,84,9,7714
Amy Patterson,South Jacquelinefort,AI/ML Engineer,TypeScript,Microsoft Azure Fundamentals,38,9,110,0,3495
Alexis Lopez,Andersonview,QA Tester,C#,AWS Certified Solutions Architect,50,22,69,9,6987
Alex Ford,Smithbury,Mobile Developer,Go,AWS Certified Solutions Architect,53,25,85,10,5700
Michael Simon,Fraziermouth,Data Scientist,Swift,Cisco CCNA,44,2,119,2,3757
Dennis Smith,West Michelle,DevOps Engineer,TypeScript,Cisco CCNA,26,6,32,5,4820
Kevin Pacheco,Danaport,Cloud Architect,Java,AWS Certified Developer,40,6,56,6,5076
Jeff Valentine,Wilsonhaven,Mobile Developer,Ruby,PMI-ACP,24,2,149,6,1814
Amy Morgan,Lake Victoriamouth,Backend Developer,PHP,Certified Scrum Master,49,2,114,4,6725
Elizabeth Martinez,Cartershire,Frontend Developer,PHP,Google Cloud Engineer,24,0,63,7,4132
Dawn Hart,Jonesborough,Cloud Architect,Swift,Cisco CCNA,45,13,15,8,1099
Anthony Roberts,Port Russellfurt,Database Administrator,Kotlin,Microsoft Azure Fundamentals,40,17,21,8,2547
Angelica Bruce,East Monicamouth,QA Tester,PHP,Cisco CCNA,43,17,144,1,3237
Jennifer Chapman,East Seanmouth,QA Tester,Kotlin,Cisco CCNA,44,0,23,7,1551
Donald Barker,Toddstad,Cloud Architect,PHP,Certified Scrum Master,25,0,59,7,6002
Danielle Warner,West Jennifer,Cybersecurity Specialist,Go,AWS Certified Solutions Architect,27,6,14,5,4735
Mary Macdonald,East Sylvia,DevOps Engineer,C#,Google Cloud Engineer,51,12,136,6,7788
Rebecca Livingston,Lake Brandonburgh,Frontend Developer,Ruby,Certified Ethical Hacker,54,20,96,1,5455
James Garcia DVM,Antoniomouth,Frontend Developer,Kotlin,Cisco CCNA,56,17,41,7,4067
Lisa Weaver,West Edwardburgh,QA Tester,Swift,Oracle Certified Professional,46,25,75,2,5192
Kelli Barnes,Port Theresa,QA Tester,Python,AWS Certified Developer,51,2,65,7,3158
Roger Brown,Rivasberg,QA Tester,Kotlin,Certified Scrum Master,29,5,79,2,1938
Christina Cooper,East Anthony,AI/ML Engineer,JavaScript,Certified Ethical Hacker,58,7,44,4,1168
Susan Contreras,Toddbury,Cloud Architect,PHP,AWS Certified Solutions Architect,31,8,96,6,2407
Brent Sanchez,New Martha,Mobile Developer,JavaScript,PMI-ACP,38,8,113,7,3042
Ethan Cunningham,Lake Randy,Backend Developer,JavaScript,Oracle Certified Professional,39,9,92,10,4821
Patricia Harris,Port Rebeccastad,Backend Developer,Python,AWS Certified Developer,57,27,7,9,2301
Albert Mills,South Jeffrey,QA Tester,Go,Certified Scrum Master,26,2,100,6,2244
Ashley Thompson,Hendersonstad,AI/ML Engineer,Go,Microsoft Azure Fundamentals,49,21,5,3,7011
Linda Black,Millerburgh,Backend Developer,Java,CompTIA Security+,47,9,107,0,1974
Samuel Nelson,Powersburgh,Cybersecurity Specialist,PHP,Microsoft Azure Fundamentals,33,3,150,6,3673
Amy Rogers,New Scottshire,Cybersecurity Specialist,Java,Google Cloud Engineer,56,19,137,7,6998
Mary Sandoval,North Monicashire,Cybersecurity Specialist,JavaScript,Oracle Certified Professional,53,33,125,10,1837
Thomas Caldwell DDS,Robertsfort,AI/ML Engineer,Java,PMI-ACP,39,12,126,6,2058
Erica Preston,Hahnberg,Cybersecurity Specialist,Java,Microsoft Azure Fundamentals,54,27,27,3,5655
Dr. Brandi Baldwin,Mckinneymouth,Frontend Developer,Swift,Oracle Certified Professional,49,28,31,10,1390
Martin Shaffer,East Russell,Mobile Developer,Java,Oracle Certified Professional,45,1,115,5,4114
Betty Garcia,Port Mallory,AI/ML Engineer,Ruby,AWS Certified Developer,27,3,132,4,3895
Charlene Ortega PhD,Lake Jennifermouth,Data Scientist,Java,CompTIA Security+,23,1,78,4,3827
Bradley Ryan,Clarkbury,Database Administrator,TypeScript,PMI-ACP,56,7,128,6,3323
Kevin Carrillo,New James,DevOps Engineer,TypeScript,AWS Certified Solutions Architect,25,0,75,9,6698
Jennifer Garrett,New Louis,QA Tester,JavaScript,Oracle Certified Professional,25,4,125,5,7201
Donna Deleon,Johnmouth,QA Tester,C#,Microsoft Azure Fundamentals,58,28,40,1,3734
Linda Dunn,West Adamtown,DevOps Engineer,C#,Microsoft Azure Fundamentals,41,3,30,5,7653
Kyle Joyce,Lake Kevinhaven,Backend Developer,Ruby,AWS Certified Solutions Architect,40,14,79,2,5320
David Vega,Cynthiaside,QA Tester,Swift,Microsoft Azure Fundamentals,25,0,32,8,6373
Amber Christensen,Lake Louis,Mobile Developer,Python,AWS Certified Solutions Architect,31,5,61,8,7140
Derrick Morris,Haleyville,DevOps Engineer,Python,CompTIA Security+,25,4,45,7,2852
Carl Mendoza,Jeremyshire,Mobile Developer,PHP,AWS Certified Developer,29,6,145,7,7415
Darlene Cook,South Jessica,Database Administrator,Python,AWS Certified Developer,52,9,98,4,1757
Haley Lowe,North Alexa,Data Scientist,PHP,PMI-ACP,56,31,13,0,2306
Kathryn Matthews,Jillshire,Frontend Developer,Python,CompTIA Security+,39,3,17,8,4072
Allen Hodges,East Franktown,Data Scientist,Ruby,Certified Scrum Master,42,14,85,2,7768
Charles Murray,Jameshaven,Cybersecurity Specialist,TypeScript,Certified Scrum Master,59,4,147,3,2678
Sandy Norris DDS,Lake Christopher,Mobile Developer,Swift,Certified Scrum Master,40,14,79,10,1190
Elizabeth Greene,North Linda,Cloud Architect,Swift,Cisco CCNA,58,23,52,8,6489
William Parsons,Port Bradtown,Backend Developer,Swift,CompTIA Security+,26,6,147,2,1183
Alexis Davis,North Maryside,QA Tester,Kotlin,Certified Scrum Master,55,4,114,9,6893
Christian Watson,Lake Courtney,QA Tester,Kotlin,Certified Ethical Hacker,32,4,71,3,4540
Timothy Jones,Denisetown,Cloud Architect,Python,CompTIA Security+,55,1,10,6,6206
Rebecca Pacheco,New Jennifer,AI/ML Engineer,Python,AWS Certified Developer,38,18,112,2,5671
Justin Carroll,Tylerchester,Cybersecurity Specialist,JavaScript,Oracle Certified Professional,53,26,59,10,5298
Valerie Dunn,Robertport,Backend Developer,JavaScript,Google Cloud Engineer,25,4,92,3,2393
Kari Ford,West Laurenborough,QA Tester,C#,Cisco CCNA,56,18,56,9,4586
Ryan Wagner,Littleview,Database Administrator,Kotlin,AWS Certified Solutions Architect,29,3,101,6,5218
Virginia Martinez,Port Lisahaven,Mobile Developer,Go,AWS Certified Solutions Architect,42,18,69,4,5968
Carl Short,East Melissaborough,Data Scientist,TypeScript,AWS Certified Developer,29,3,70,7,6186
Erica Jones,North Jennifermouth,Mobile Developer,TypeScript,Microsoft Azure Fundamentals,38,1,80,2,1562
Brett Howell,Martinburgh,Cloud Architect,Go,Oracle Certified Professional,40,18,64,8,925
Kristopher Murphy,Port Charlesborough,Database Administrator,Kotlin,AWS Certified Developer,60,8,137,6,2724
Evan Thompson,North Christopherport,Cloud Architect,TypeScript,AWS Certified Developer,35,8,24,8,3178
Lisa Khan,Lake Tim,Database Administrator,Kotlin,Cisco CCNA,41,19,126,3,3118
Brittney Freeman,Port Michealchester,Data Scientist,Go,CompTIA Security+,57,5,120,2,7436
Justin Mcneil,Carolynport,AI/ML Engineer,PHP,CompTIA Security+,52,8,129,5,2888
Brandon Reynolds,Kennethstad,Cybersecurity Specialist,Java,AWS Certified Developer,28,5,28,0,1069
Stephanie Saunders,Danielletown,Cloud Architect,Ruby,Cisco CCNA,41,18,104,7,2090
Robert Olsen,Welchstad,Cloud Architect,Kotlin,Certified Scrum Master,25,3,1,6,1889
Mary Reyes,South Lindaberg,Frontend Developer,Python,AWS Certified Solutions Architect,42,16,103,4,3717
Michael Woodard,Tateshire,Database Administrator,Ruby,CompTIA Security+,49,0,109,7,3830
Kelly Flynn,Thomastown,Cybersecurity Specialist,Kotlin,AWS Certified Solutions Architect,25,3,76,7,5408
Monica Cruz,East Kimberly,Mobile Developer,Python,CompTIA Security+,24,1,62,1,4709
Shawna Hanson,New Dawn,Database Administrator,Java,AWS Certified Solutions Architect,43,13,119,6,6771
Briana Hart,Karenport,Data Scientist,JavaScript,Microsoft Azure Fundamentals,32,2,105,10,6502
Kerry Sullivan,North Anneside,DevOps Engineer,Swift,Certified Ethical Hacker,60,25,25,9,6342
Courtney Johnson DDS,Carlmouth,Database Administrator,PHP,Certified Ethical Hacker,44,0,124,6,2735
Julia Ayers,Lake Donaldside,Mobile Developer,Go,Certified Scrum Master,24,3,94,8,5138
Emma Williams,Port Matthewfort,Backend Developer,Python,CompTIA Security+,58,36,23,6,4445
Leah Sexton,Port Thomasstad,AI/ML Engineer,PHP,AWS Certified Solutions Architect,57,10,123,3,1657
William Dawson,Dawnport,Frontend Developer,Go,AWS Certified Developer,45,9,40,2,2297
Debra Crawford,West Richardville,Database Administrator,Ruby,CompTIA Security+,47,22,106,8,2726
Mrs. Angela Mclean,New Jodi,AI/ML Engineer,Kotlin,Microsoft Azure Fundamentals,58,6,61,5,1238
Beverly Crane,Lake Danamouth,QA Tester,Java,Oracle Certified Professional,38,2,59,9,5305
Susan Rivera,South Hannahside,DevOps Engineer,Kotlin,Oracle Certified Professional,51,16,99,2,7298
Paul Rose,Williamsville,DevOps Engineer,Kotlin,Cisco CCNA,51,31,135,5,4806
Terry Moss,Timothyside,DevOps Engineer,Kotlin,Oracle Certified Professional,25,2,25,8,2712
Daniel Lawrence,Jefferyfurt,AI/ML Engineer,Ruby,Cisco CCNA,34,11,138,8,6727
James Morgan,Andradeburgh,Frontend Developer,Swift,AWS Certified Solutions Architect,43,8,136,10,3923
Victoria Collins,East Reneeland,Database Administrator,Python,Google Cloud Engineer,29,2,130,1,7677
Benjamin Duncan,West James,Data Scientist,Go,Certified Ethical Hacker,53,4,31,5,4696
Dylan Burgess,North Alextown,Mobile Developer,JavaScript,AWS Certified Developer,33,6,121,6,6548
John Moss,Charlesmouth,Cybersecurity Specialist,TypeScript,Microsoft Azure Fundamentals,44,12,5,6,5543
Stephanie Brown,East Brooke,Cybersecurity Specialist,C#,Certified Ethical Hacker,49,28,52,5,6085
Rebecca Mcdonald,South Taylor,Frontend Developer,Java,Microsoft Azure Fundamentals,40,5,90,0,6219
